leg_idx,registration,orig_registration,assigned_registration,tail_swap,is_ground_activity,ident,aircraft_type,body_type,origin,destination,orig_scheduled_out,orig_scheduled_in,shift_min,new_scheduled_out,new_scheduled_in
0,A6-EBR,A6-EBR,A6-EBR,False,False,UAE721,B77W,WB,DXB,NBO,2026-07-06T11:55:00+00:00,2026-07-06T17:00:00+00:00,0,2026-07-06T11:55:00+00:00,2026-07-06T17:00:00+00:00
1,A6-EBR,A6-EBR,A6-EBR,False,False,UAE722,B77W,WB,NBO,DXB,2026-07-06T19:45:00+00:00,2026-07-07T00:50:00+00:00,0,2026-07-06T19:45:00+00:00,2026-07-07T00:50:00+00:00
2,A6-EBR,A6-EBR,A6-EBR,False,False,UAE793,B77W,WB,DXB,NBJ,2026-07-07T05:45:00+00:00,2026-07-07T13:30:00+00:00,0,2026-07-07T05:45:00+00:00,2026-07-07T13:30:00+00:00
3,A6-EBR,A6-EBR,A6-EBR,False,False,UAE794,B77W,WB,NBJ,DXB,2026-07-07T17:25:00+00:00,2026-07-08T01:15:00+00:00,0,2026-07-07T17:25:00+00:00,2026-07-08T01:15:00+00:00
4,A6-EBR,A6-EBR,A6-EBR,False,False,UAE247,B77W,WB,DXB,GIG,2026-07-08T03:40:00+00:00,2026-07-08T18:50:00+00:00,0,2026-07-08T03:40:00+00:00,2026-07-08T18:50:00+00:00
5,A6-EBR,A6-EBR,A6-EBR,False,False,UAE247,B77W,WB,GIG,EZE,2026-07-08T20:25:00+00:00,2026-07-08T23:50:00+00:00,0,2026-07-08T20:25:00+00:00,2026-07-08T23:50:00+00:00
6,A6-EBR,A6-EBR,A6-EBR,False,False,UAE248,B77W,WB,EZE,GIG,2026-07-09T01:25:00+00:00,2026-07-09T04:10:00+00:00,0,2026-07-09T01:25:00+00:00,2026-07-09T04:10:00+00:00
7,A6-EBR,A6-EBR,A6-EBR,False,False,UAE248,B77W,WB,GIG,DAR,2026-07-09T06:05:00+00:00,2026-07-09T20:30:00+00:00,0,2026-07-09T06:05:00+00:00,2026-07-09T20:30:00+00:00
8,A6-EBR,A6-EBR,A6-EBR,False,False,UAE131,B77W,WB,DXB,DME,2026-07-10T10:45:00+00:00,2026-07-10T17:45:00+00:00,40,2026-07-10T11:25:00+00:00,2026-07-10T18:25:00+00:00
9,A6-EBR,A6-EBR,A6-EBR,False,False,UAE132,B773,WB,DME,DXB,2026-07-10T20:10:00+00:00,2026-07-11T03:05:00+00:00,40,2026-07-10T20:50:00+00:00,2026-07-11T03:45:00+00:00
10,A6-EQM,A6-EBR,A6-EQM,True,False,UAE416,B77W,WB,DXB,SYD,2026-07-11T17:40:00+00:00,2026-07-12T07:30:00+00:00,40,2026-07-11T18:20:00+00:00,2026-07-12T08:10:00+00:00
11,A6-EBR,A6-EBR,A6-EBR,False,False,UAE417,B77W,WB,SYD,DXB,2026-07-12T10:10:00+00:00,2026-07-13T00:30:00+00:00,40,2026-07-12T10:50:00+00:00,2026-07-13T01:10:00+00:00
