origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
DAC,JFK,5077.0,532.0,UAE585,UAE201,2026-07-12T01:30:00+00:00,2026-07-12T04:00:00+00:00,150.0,0.825,2228295.3
AMS,BKK,4574.0,200.0,UAE150,UAE370,2026-07-10T03:00:00+00:00,2026-07-10T05:00:00+00:00,120.0,1.0,914800.0
JFK,DAC,4278.0,200.0,UAE204,UAE586,2026-07-07T04:30:00+00:00,2026-07-07T06:30:00+00:00,120.0,1.0,855600.0
DUS,CMB,4256.0,200.0,UAE56,UAE650,2026-07-07T20:30:00+00:00,2026-07-07T22:30:00+00:00,120.0,1.0,851200.0
DME,MLE,4044.0,200.0,UAE134,UAE656,2026-07-12T20:45:00+00:00,2026-07-12T22:40:00+00:00,115.0,0.9167,741400.0
MAN,ISB,3551.0,200.0,UAE18,UAE612,2026-07-06T20:25:00+00:00,2026-07-06T22:25:00+00:00,120.0,1.0,710200.0
DFW,HYD,3542.0,200.0,UAE222,UAE528,2026-07-07T09:00:00+00:00,2026-07-07T11:00:00+00:00,120.0,1.0,708400.0
HYD,DFW,3487.0,200.0,UAE529,UAE221,2026-07-06T20:10:00+00:00,2026-07-06T22:10:00+00:00,120.0,1.0,697400.0
AMS,DPS,3483.0,200.0,UAE148,UAE368,2026-07-12T20:10:00+00:00,2026-07-12T22:10:00+00:00,120.0,1.0,696600.0
MLE,DME,3461.0,200.0,UAE657,UAE131,2026-07-06T08:15:00+00:00,2026-07-06T10:15:00+00:00,120.0,1.0,692200.0
HYD,IAD,2866.0,200.0,UAE529,UAE231,2026-07-12T20:15:00+00:00,2026-07-12T22:15:00+00:00,120.0,1.0,573200.0
BHX,ISB,2850.0,200.0,UAE40,UAE612,2026-07-09T21:20:00+00:00,2026-07-09T23:20:00+00:00,120.0,1.0,570000.0
LHR,KUL,2747.0,200.0,UAE8,UAE344,2026-07-10T15:15:00+00:00,2026-07-10T17:15:00+00:00,120.0,1.0,549400.0
ISB,MAN,2720.0,200.0,UAE615,UAE17,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,544000.0
DPS,AMS,2659.0,200.0,UAE399,UAE147,2026-07-08T01:30:00+00:00,2026-07-08T03:35:00+00:00,125.0,0.9708,516289.17
DUS,DPS,2553.0,200.0,UAE56,UAE368,2026-07-12T20:10:00+00:00,2026-07-12T22:10:00+00:00,120.0,1.0,510600.0
CDG,DPS,2517.0,200.0,UAE74,UAE368,2026-07-09T21:05:00+00:00,2026-07-09T23:05:00+00:00,120.0,1.0,503400.0
ATH,MEL,2479.0,200.0,UAE210,UAE408,2026-07-12T19:40:00+00:00,2026-07-12T21:40:00+00:00,120.0,1.0,495800.0
