label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
final,0,0,Mon,00:00,66,0,0
final,1,0,Mon,00:05,66,0,0
final,2,0,Mon,00:10,66,0,0
final,3,0,Mon,00:15,66,0,0
final,4,0,Mon,00:20,66,0,0
final,5,0,Mon,00:25,66,0,0
final,6,0,Mon,00:30,66,0,0
final,7,0,Mon,00:35,66,0,0
final,8,0,Mon,00:40,66,0,0
final,9,0,Mon,00:45,66,0,0
final,10,0,Mon,00:50,66,0,0
final,11,0,Mon,00:55,66,0,0
final,12,0,Mon,01:00,66,0,0
final,13,0,Mon,01:05,66,0,0
final,14,0,Mon,01:10,66,0,0
final,15,0,Mon,01:15,66,0,0
final,16,0,Mon,01:20,66,0,0
final,17,0,Mon,01:25,66,0,0
final,18,0,Mon,01:30,66,0,0
final,19,0,Mon,01:35,66,0,0
final,20,0,Mon,01:40,66,0,0
final,21,0,Mon,01:45,66,0,0
final,22,0,Mon,01:50,66,0,0
final,23,0,Mon,01:55,66,1,1
final,24,0,Mon,02:00,66,1,1
final,25,0,Mon,02:05,66,1,1
final,26,0,Mon,02:10,66,1,1
final,27,0,Mon,02:15,66,1,1
final,28,0,Mon,02:20,66,1,1
final,29,0,Mon,02:25,66,1,1
final,30,0,Mon,02:30,66,1,1
final,31,0,Mon,02:35,66,1,1
final,32,0,Mon,02:40,66,2,2
final,33,0,Mon,02:45,66,2,2
final,34,0,Mon,02:50,66,2,2
final,35,0,Mon,02:55,66,2,2
final,36,0,Mon,03:00,66,3,3
final,37,0,Mon,03:05,66,3,3
final,38,0,Mon,03:10,66,3,3
final,39,0,Mon,03:15,66,3,3
final,40,0,Mon,03:20,66,3,3
final,41,0,Mon,03:25,66,3,3
final,42,0,Mon,03:30,66,3,3
final,43,0,Mon,03:35,66,3,3
final,44,0,Mon,03:40,66,3,3
final,45,0,Mon,03:45,66,3,3
final,46,0,Mon,03:50,66,3,3
final,47,0,Mon,03:55,66,4,4
final,48,0,Mon,04:00,66,4,4
final,49,0,Mon,04:05,66,4,4
final,50,0,Mon,04:10,66,4,4
final,51,0,Mon,04:15,66,4,4
final,52,0,Mon,04:20,66,4,4
final,53,0,Mon,04:25,66,4,4
final,54,0,Mon,04:30,66,4,4
final,55,0,Mon,04:35,66,4,4
final,56,0,Mon,04:40,66,4,4
final,57,0,Mon,04:45,66,4,4
final,58,0,Mon,04:50,66,4,4
final,59,0,Mon,04:55,66,4,4
final,60,0,Mon,05:00,66,4,4
final,61,0,Mon,05:05,66,4,4
final,62,0,Mon,05:10,66,4,4
final,63,0,Mon,05:15,66,4,4
final,64,0,Mon,05:20,66,4,4
final,65,0,Mon,05:25,66,4,4
final,66,0,Mon,05:30,66,4,4
final,67,0,Mon,05:35,66,3,3
final,68,0,Mon,05:40,66,3,3
final,69,0,Mon,05:45,66,3,3
final,70,0,Mon,05:50,66,3,3
final,71,0,Mon,05:55,66,3,3
final,72,0,Mon,06:00,66,3,3
final,73,0,Mon,06:05,66,3,3
final,74,0,Mon,06:10,66,3,3
final,75,0,Mon,06:15,66,2,2
final,76,0,Mon,06:20,66,2,2
final,77,0,Mon,06:25,66,2,2
final,78,0,Mon,06:30,66,2,2
final,79,0,Mon,06:35,66,2,2
final,80,0,Mon,06:40,66,2,2
final,81,0,Mon,06:45,66,2,2
final,82,0,Mon,06:50,66,2,2
final,83,0,Mon,06:55,66,2,2
final,84,0,Mon,07:00,66,2,2
final,85,0,Mon,07:05,66,2,2
final,86,0,Mon,07:10,66,2,2
final,87,0,Mon,07:15,66,2,2
final,88,0,Mon,07:20,66,2,2
final,89,0,Mon,07:25,66,3,3
final,90,0,Mon,07:30,66,3,3
final,91,0,Mon,07:35,66,4,4
final,92,0,Mon,07:40,66,4,4
final,93,0,Mon,07:45,66,5,5
final,94,0,Mon,07:50,66,5,5
final,95,0,Mon,07:55,66,6,6
final,96,0,Mon,08:00,66,6,6
final,97,0,Mon,08:05,66,6,6
final,98,0,Mon,08:10,66,6,6
final,99,0,Mon,08:15,66,7,7
final,100,0,Mon,08:20,66,8,8
final,101,0,Mon,08:25,66,9,9
final,102,0,Mon,08:30,66,9,9
final,103,0,Mon,08:35,66,10,10
final,104,0,Mon,08:40,66,10,10
final,105,0,Mon,08:45,66,11,11
final,106,0,Mon,08:50,66,12,12
final,107,0,Mon,08:55,66,16,16
final,108,0,Mon,09:00,66,20,20
final,109,0,Mon,09:05,66,20,20
final,110,0,Mon,09:10,66,21,21
final,111,0,Mon,09:15,66,21,21
final,112,0,Mon,09:20,66,22,22
final,113,0,Mon,09:25,66,22,22
final,114,0,Mon,09:30,66,22,22
final,115,0,Mon,09:35,66,22,22
final,116,0,Mon,09:40,66,22,22
final,117,0,Mon,09:45,66,23,23
final,118,0,Mon,09:50,66,23,23
final,119,0,Mon,09:55,66,23,23
final,120,0,Mon,10:00,66,23,23
final,121,0,Mon,10:05,66,23,23
final,122,0,Mon,10:10,66,22,22
final,123,0,Mon,10:15,66,22,22
final,124,0,Mon,10:20,66,22,22
final,125,0,Mon,10:25,66,19,19
final,126,0,Mon,10:30,66,18,18
final,127,0,Mon,10:35,66,17,17
final,128,0,Mon,10:40,66,18,18
final,129,0,Mon,10:45,66,18,18
final,130,0,Mon,10:50,66,17,17
final,131,0,Mon,10:55,66,16,16
final,132,0,Mon,11:00,66,14,14
final,133,0,Mon,11:05,66,13,13
final,134,0,Mon,11:10,66,12,12
final,135,0,Mon,11:15,66,12,12
final,136,0,Mon,11:20,66,11,11
final,137,0,Mon,11:25,66,10,10
final,138,0,Mon,11:30,66,10,10
final,139,0,Mon,11:35,66,10,10
final,140,0,Mon,11:40,66,10,10
final,141,0,Mon,11:45,66,9,9
final,142,0,Mon,11:50,66,9,9
final,143,0,Mon,11:55,66,9,9
final,144,0,Mon,12:00,66,8,8
