label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
initial,0,0,Mon,00:00,66,0,0
initial,1,0,Mon,00:05,66,0,0
initial,2,0,Mon,00:10,66,0,0
initial,3,0,Mon,00:15,66,0,0
initial,4,0,Mon,00:20,66,0,0
initial,5,0,Mon,00:25,66,0,0
initial,6,0,Mon,00:30,66,0,0
initial,7,0,Mon,00:35,66,0,0
initial,8,0,Mon,00:40,66,0,0
initial,9,0,Mon,00:45,66,0,0
initial,10,0,Mon,00:50,66,0,0
initial,11,0,Mon,00:55,66,0,0
initial,12,0,Mon,01:00,66,0,0
initial,13,0,Mon,01:05,66,0,0
initial,14,0,Mon,01:10,66,0,0
initial,15,0,Mon,01:15,66,0,0
initial,16,0,Mon,01:20,66,0,0
initial,17,0,Mon,01:25,66,0,0
initial,18,0,Mon,01:30,66,0,0
initial,19,0,Mon,01:35,66,0,0
initial,20,0,Mon,01:40,66,0,0
initial,21,0,Mon,01:45,66,0,0
initial,22,0,Mon,01:50,66,0,0
initial,23,0,Mon,01:55,66,1,1
initial,24,0,Mon,02:00,66,1,1
initial,25,0,Mon,02:05,66,1,1
initial,26,0,Mon,02:10,66,1,1
initial,27,0,Mon,02:15,66,1,1
initial,28,0,Mon,02:20,66,1,1
initial,29,0,Mon,02:25,66,1,1
initial,30,0,Mon,02:30,66,1,1
initial,31,0,Mon,02:35,66,1,1
initial,32,0,Mon,02:40,66,2,2
initial,33,0,Mon,02:45,66,2,2
initial,34,0,Mon,02:50,66,2,2
initial,35,0,Mon,02:55,66,2,2
initial,36,0,Mon,03:00,66,3,3
initial,37,0,Mon,03:05,66,3,3
initial,38,0,Mon,03:10,66,3,3
initial,39,0,Mon,03:15,66,3,3
initial,40,0,Mon,03:20,66,3,3
initial,41,0,Mon,03:25,66,3,3
initial,42,0,Mon,03:30,66,3,3
initial,43,0,Mon,03:35,66,3,3
initial,44,0,Mon,03:40,66,3,3
initial,45,0,Mon,03:45,66,3,3
initial,46,0,Mon,03:50,66,3,3
initial,47,0,Mon,03:55,66,4,4
initial,48,0,Mon,04:00,66,4,4
initial,49,0,Mon,04:05,66,4,4
initial,50,0,Mon,04:10,66,4,4
initial,51,0,Mon,04:15,66,4,4
initial,52,0,Mon,04:20,66,4,4
initial,53,0,Mon,04:25,66,4,4
initial,54,0,Mon,04:30,66,4,4
initial,55,0,Mon,04:35,66,4,4
initial,56,0,Mon,04:40,66,4,4
initial,57,0,Mon,04:45,66,4,4
initial,58,0,Mon,04:50,66,4,4
initial,59,0,Mon,04:55,66,4,4
initial,60,0,Mon,05:00,66,4,4
initial,61,0,Mon,05:05,66,4,4
initial,62,0,Mon,05:10,66,4,4
initial,63,0,Mon,05:15,66,4,4
initial,64,0,Mon,05:20,66,4,4
initial,65,0,Mon,05:25,66,4,4
initial,66,0,Mon,05:30,66,4,4
initial,67,0,Mon,05:35,66,3,3
initial,68,0,Mon,05:40,66,3,3
initial,69,0,Mon,05:45,66,3,3
initial,70,0,Mon,05:50,66,3,3
initial,71,0,Mon,05:55,66,3,3
initial,72,0,Mon,06:00,66,3,3
initial,73,0,Mon,06:05,66,3,3
initial,74,0,Mon,06:10,66,3,3
initial,75,0,Mon,06:15,66,2,2
initial,76,0,Mon,06:20,66,2,2
initial,77,0,Mon,06:25,66,2,2
initial,78,0,Mon,06:30,66,2,2
initial,79,0,Mon,06:35,66,2,2
initial,80,0,Mon,06:40,66,2,2
initial,81,0,Mon,06:45,66,2,2
initial,82,0,Mon,06:50,66,2,2
initial,83,0,Mon,06:55,66,2,2
initial,84,0,Mon,07:00,66,2,2
initial,85,0,Mon,07:05,66,2,2
initial,86,0,Mon,07:10,66,2,2
initial,87,0,Mon,07:15,66,2,2
initial,88,0,Mon,07:20,66,2,2
initial,89,0,Mon,07:25,66,3,3
initial,90,0,Mon,07:30,66,3,3
initial,91,0,Mon,07:35,66,4,4
initial,92,0,Mon,07:40,66,4,4
initial,93,0,Mon,07:45,66,5,5
initial,94,0,Mon,07:50,66,5,5
initial,95,0,Mon,07:55,66,6,6
initial,96,0,Mon,08:00,66,6,6
initial,97,0,Mon,08:05,66,6,6
initial,98,0,Mon,08:10,66,6,6
initial,99,0,Mon,08:15,66,7,7
initial,100,0,Mon,08:20,66,8,8
initial,101,0,Mon,08:25,66,9,9
initial,102,0,Mon,08:30,66,9,9
initial,103,0,Mon,08:35,66,10,10
initial,104,0,Mon,08:40,66,10,10
initial,105,0,Mon,08:45,66,11,11
initial,106,0,Mon,08:50,66,12,12
initial,107,0,Mon,08:55,66,16,16
initial,108,0,Mon,09:00,66,20,20
initial,109,0,Mon,09:05,66,20,20
initial,110,0,Mon,09:10,66,21,21
initial,111,0,Mon,09:15,66,21,21
initial,112,0,Mon,09:20,66,22,22
initial,113,0,Mon,09:25,66,22,22
initial,114,0,Mon,09:30,66,22,22
initial,115,0,Mon,09:35,66,22,22
initial,116,0,Mon,09:40,66,22,22
initial,117,0,Mon,09:45,66,23,23
initial,118,0,Mon,09:50,66,23,23
initial,119,0,Mon,09:55,66,23,23
initial,120,0,Mon,10:00,66,23,23
initial,121,0,Mon,10:05,66,23,23
initial,122,0,Mon,10:10,66,23,23
initial,123,0,Mon,10:15,66,23,23
initial,124,0,Mon,10:20,66,23,23
initial,125,0,Mon,10:25,66,20,20
initial,126,0,Mon,10:30,66,19,19
initial,127,0,Mon,10:35,66,18,18
initial,128,0,Mon,10:40,66,19,19
initial,129,0,Mon,10:45,66,19,19
initial,130,0,Mon,10:50,66,18,18
initial,131,0,Mon,10:55,66,17,17
initial,132,0,Mon,11:00,66,15,15
initial,133,0,Mon,11:05,66,14,14
initial,134,0,Mon,11:10,66,14,14
initial,135,0,Mon,11:15,66,14,14
initial,136,0,Mon,11:20,66,13,13
initial,137,0,Mon,11:25,66,12,12
initial,138,0,Mon,11:30,66,12,12
initial,139,0,Mon,11:35,66,12,12
initial,140,0,Mon,11:40,66,12,12
initial,141,0,Mon,11:45,66,11,11
initial,142,0,Mon,11:50,66,11,11
initial,143,0,Mon,11:55,66,11,11
initial,144,0,Mon,12:00,66,10,10
initial,145,0,Mon,12:05,66,10,10
initial,146,0,Mon,12:10,66,9,8
initial,147,0,Mon,12:15,66,9,8
initial,148,0,Mon,12:20,66,9,8
initial,149,0,Mon,12:25,66,9,8
initial,150,0,Mon,12:30,66,9,8
initial,151,0,Mon,12:35,66,9,8
initial,152,0,Mon,12:40,66,9,8
initial,153,0,Mon,12:45,66,7,6
initial,154,0,Mon,12:50,66,7,6
initial,155,0,Mon,12:55,66,7,6
initial,156,0,Mon,13:00,66,6,5
initial,157,0,Mon,13:05,66,6,5
initial,158,0,Mon,13:10,66,6,5
initial,159,0,Mon,13:15,66,6,5
initial,160,0,Mon,13:20,66,6,5
initial,161,0,Mon,13:25,66,6,5
initial,162,0,Mon,13:30,66,7,6
initial,163,0,Mon,13:35,66,8,7
initial,164,0,Mon,13:40,66,8,7
initial,165,0,Mon,13:45,66,8,7
initial,166,0,Mon,13:50,66,8,7
initial,167,0,Mon,13:55,66,8,7
initial,168,0,Mon,14:00,66,7,6
initial,169,0,Mon,14:05,66,7,6
initial,170,0,Mon,14:10,66,7,6
initial,171,0,Mon,14:15,66,7,6
initial,172,0,Mon,14:20,66,7,6
initial,173,0,Mon,14:25,66,8,7
initial,174,0,Mon,14:30,66,9,8
initial,175,0,Mon,14:35,66,9,8
initial,176,0,Mon,14:40,66,9,8
initial,177,0,Mon,14:45,66,9,8
initial,178,0,Mon,14:50,66,9,8
initial,179,0,Mon,14:55,66,9,8
initial,180,0,Mon,15:00,66,8,7
initial,181,0,Mon,15:05,66,8,6
initial,182,0,Mon,15:10,66,8,6
initial,183,0,Mon,15:15,66,9,7
initial,184,0,Mon,15:20,66,9,7
initial,185,0,Mon,15:25,66,10,8
initial,186,0,Mon,15:30,66,10,8
initial,187,0,Mon,15:35,66,11,9
initial,188,0,Mon,15:40,66,12,10
initial,189,0,Mon,15:45,66,13,11
initial,190,0,Mon,15:50,66,13,11
initial,191,0,Mon,15:55,66,13,11
initial,192,0,Mon,16:00,66,16,14
initial,193,0,Mon,16:05,66,16,14
initial,194,0,Mon,16:10,66,18,16
initial,195,0,Mon,16:15,66,19,17
initial,196,0,Mon,16:20,66,20,18
initial,197,0,Mon,16:25,66,21,19
initial,198,0,Mon,16:30,66,22,20
initial,199,0,Mon,16:35,66,22,20
initial,200,0,Mon,16:40,66,22,20
initial,201,0,Mon,16:45,66,22,20
initial,202,0,Mon,16:50,66,22,20
initial,203,0,Mon,16:55,66,22,20
initial,204,0,Mon,17:00,66,23,20
initial,205,0,Mon,17:05,66,21,18
initial,206,0,Mon,17:10,66,21,17
initial,207,0,Mon,17:15,66,23,19
initial,208,0,Mon,17:20,66,23,19
initial,209,0,Mon,17:25,66,23,19
initial,210,0,Mon,17:30,66,22,18
initial,211,0,Mon,17:35,66,22,18
initial,212,0,Mon,17:40,66,22,17
initial,213,0,Mon,17:45,66,21,16
initial,214,0,Mon,17:50,66,20,15
initial,215,0,Mon,17:55,66,20,15
initial,216,0,Mon,18:00,66,21,16
initial,217,0,Mon,18:05,66,21,16
initial,218,0,Mon,18:10,66,22,17
initial,219,0,Mon,18:15,66,22,17
initial,220,0,Mon,18:20,66,22,17
initial,221,0,Mon,18:25,66,22,17
initial,222,0,Mon,18:30,66,23,18
initial,223,0,Mon,18:35,66,23,18
initial,224,0,Mon,18:40,66,24,19
