tf,day_idx,dow,time_utc,contact_capacity,initial_contact_served,final_contact_served,delta_final_minus_initial
0,0,Mon,00:00,66,0,0,0
1,0,Mon,00:05,66,0,0,0
2,0,Mon,00:10,66,0,0,0
3,0,Mon,00:15,66,0,0,0
4,0,Mon,00:20,66,0,0,0
5,0,Mon,00:25,66,0,0,0
6,0,Mon,00:30,66,0,0,0
7,0,Mon,00:35,66,0,0,0
8,0,Mon,00:40,66,0,0,0
9,0,Mon,00:45,66,0,0,0
10,0,Mon,00:50,66,0,0,0
11,0,Mon,00:55,66,0,0,0
12,0,Mon,01:00,66,0,0,0
13,0,Mon,01:05,66,0,0,0
14,0,Mon,01:10,66,0,0,0
15,0,Mon,01:15,66,0,0,0
16,0,Mon,01:20,66,0,0,0
17,0,Mon,01:25,66,0,0,0
18,0,Mon,01:30,66,0,0,0
19,0,Mon,01:35,66,0,0,0
20,0,Mon,01:40,66,0,0,0
21,0,Mon,01:45,66,0,0,0
22,0,Mon,01:50,66,0,0,0
23,0,Mon,01:55,66,1,1,0
24,0,Mon,02:00,66,1,1,0
25,0,Mon,02:05,66,1,1,0
26,0,Mon,02:10,66,1,1,0
27,0,Mon,02:15,66,1,1,0
28,0,Mon,02:20,66,1,1,0
29,0,Mon,02:25,66,1,1,0
30,0,Mon,02:30,66,1,1,0
31,0,Mon,02:35,66,1,1,0
32,0,Mon,02:40,66,2,2,0
33,0,Mon,02:45,66,2,2,0
34,0,Mon,02:50,66,2,2,0
35,0,Mon,02:55,66,2,2,0
36,0,Mon,03:00,66,3,3,0
37,0,Mon,03:05,66,3,3,0
38,0,Mon,03:10,66,3,3,0
39,0,Mon,03:15,66,3,3,0
40,0,Mon,03:20,66,3,3,0
41,0,Mon,03:25,66,3,3,0
42,0,Mon,03:30,66,3,3,0
43,0,Mon,03:35,66,3,3,0
44,0,Mon,03:40,66,3,3,0
45,0,Mon,03:45,66,3,3,0
46,0,Mon,03:50,66,3,3,0
47,0,Mon,03:55,66,4,4,0
48,0,Mon,04:00,66,4,4,0
49,0,Mon,04:05,66,4,4,0
50,0,Mon,04:10,66,4,4,0
