arc_idx,assigned_registration,outbound_assigned_registration,inbound_orig_reg,outbound_orig_reg,tail_swap,aircraft_type,body_type,inbound_ident,outbound_ident,arr,dep,ground_min,is_long_towed,stand
1,A6-EBR,A6-EBR,A6-EBR,A6-EBR,False,B77W,WB,UAE722,UAE793,2026-07-07T00:50:00+00:00,2026-07-07T05:45:00+00:00,295.0,False,Contact
3,A6-EBR,A6-EBR,A6-EBR,A6-EBR,False,B77W,WB,UAE794,UAE247,2026-07-08T01:15:00+00:00,2026-07-08T03:40:00+00:00,145.0,False,Contact
16,A6-EBU,A6-EBU,A6-EBU,A6-EBU,False,B77W,WB,UAE349,UAE506,2026-07-09T00:50:00+00:00,2026-07-09T05:30:00+00:00,280.0,False,Contact
20,A6-EBU,A6-EBU,A6-EBU,A6-EBU,False,B77W,WB,UAE417,UAE797,2026-07-11T00:30:00+00:00,2026-07-11T03:50:00+00:00,200.0,False,Contact
23,A6-EBU,A6-EBU,A6-EBU,A6-EBU,False,B77W,WB,UAE797,UAE793,2026-07-12T03:40:00+00:00,2026-07-12T05:45:00+00:00,125.0,False,Contact
26,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE331,UAE584,2026-07-07T04:05:00+00:00,2026-07-07T12:45:00+00:00,520.0,False,Contact
28,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE585,UAE783,2026-07-08T00:30:00+00:00,2026-07-08T05:15:00+00:00,285.0,False,Contact
30,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE784,UAE308,2026-07-08T23:45:00+00:00,2026-07-09T06:40:00+00:00,415.0,False,Contact
32,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE309,UAE57,2026-07-10T07:35:00+00:00,2026-07-10T10:25:00+00:00,170.0,False,Contact
34,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE58,UAE111,2026-07-11T02:00:00+00:00,2026-07-11T05:50:00+00:00,230.0,False,Contact
36,A6-EBY,A6-EBY,A6-EBY,A6-EBY,False,B77W,WB,UAE112,UAE332,2026-07-11T19:40:00+00:00,2026-07-11T23:25:00+00:00,225.0,False,Contact
39,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE112,UAE530,2026-07-06T19:40:00+00:00,2026-07-06T23:10:00+00:00,210.0,False,Contact
41,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE531,UAE131,2026-07-07T08:45:00+00:00,2026-07-07T10:35:00+00:00,110.0,False,Contact
43,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE132,UAE131,2026-07-08T02:55:00+00:00,2026-07-08T10:45:00+00:00,470.0,False,Contact
45,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE132,*ECF,2026-07-09T03:05:00+00:00,2026-07-09T04:35:00+00:00,90.0,False,Large
46,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,*ECF,UAE314,2026-07-10T16:00:00+00:00,2026-07-10T17:00:00+00:00,60.0,False,Contact
48,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE315,UAE821,2026-07-11T09:45:00+00:00,2026-07-11T16:50:00+00:00,425.0,False,Contact
50,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE822,UAE929,2026-07-11T21:00:00+00:00,2026-07-12T00:00:00+00:00,180.0,False,Contact
52,A6-ECF,A6-ECF,A6-ECF,A6-ECF,False,B77W,WB,UAE930,UAE131,2026-07-12T08:55:00+00:00,2026-07-12T10:45:00+00:00,110.0,False,Contact
55,A6-ECG,A6-ECG,A6-ECG,A6-ECG,False,B77W,WB,UAE180,UAE348,2026-07-06T19:20:00+00:00,2026-07-06T22:20:00+00:00,180.0,False,Contact
59,A6-ECG,A6-ECG,A6-ECG,A6-ECG,False,B77W,WB,UAE349,UAE725,2026-07-08T00:50:00+00:00,2026-07-08T04:30:00+00:00,220.0,False,Contact
65,A6-ECG,A6-ECG,A6-ECG,A6-ECG,False,B77W,WB,UAE132,UAE506,2026-07-10T02:45:00+00:00,2026-07-10T04:50:00+00:00,125.0,False,Contact
69,A6-ECG,A6-ECG,A6-ECG,A6-ECG,False,B77W,WB,UAE417,UAE795,2026-07-12T00:40:00+00:00,2026-07-12T03:50:00+00:00,190.0,False,Large
73,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE248,UAE564,2026-07-06T20:35:00+00:00,2026-07-06T23:20:00+00:00,165.0,False,Contact
75,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE565,UAE314,2026-07-07T08:45:00+00:00,2026-07-07T17:00:00+00:00,495.0,False,Contact
77,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE315,UAE508,2026-07-08T09:45:00+00:00,2026-07-08T12:00:00+00:00,135.0,False,Contact
79,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE509,UAE231,2026-07-08T19:59:00+00:00,2026-07-08T22:00:00+00:00,121.0,False,Contact
81,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE232,UAE308,2026-07-10T04:15:00+00:00,2026-07-10T06:40:00+00:00,145.0,False,Contact
83,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE309,UAE566,2026-07-11T07:35:00+00:00,2026-07-11T09:45:00+00:00,130.0,False,Contact
85,A6-ECH,A6-ECH,A6-ECH,A6-ECH,False,B77W,WB,UAE567,UAE231,2026-07-11T19:20:00+00:00,2026-07-11T22:20:00+00:00,180.0,False,Contact
